# Существительное

N:0:pA	NCXXNXXAP
V:PD-3:ipp1	VDPN3F1PX
V:PD-3:ipp2	VDPN3F2PX
V:PD-3:ipp3	VDPN3F3PX
V:PD-3:ips1	VDPN3F1SX
V:PD-3:ips2	VDPN3F2SX
V:PD-3:ips3	VDPN3F3SX
V:PD-3:mp2	VDPN3I2PX
V:PD-3:ms2	VDPN3I2SX
	
V:PI-3:iap	VIPN3PXPX
V:PI-3:iasf	VIPN3PXSF
V:PI-3:iasm	VIPN3PXSM
V:PI-3:iasn	VIPN3PXSN
V:PI-3:Inf	VIPN30XXX
V:PI-3:ipp1	VIPN3F1PX
V:PI-3:ipp2	VIPN3F2PX
V:PI-3:ipp3	VIPN3F3PX
V:PI-3:ips1	VIPN3F1SX
V:PI-3:ips2	VIPN3F2SX
V:PI-3:ips3	VIPN3F3SX
V:PI-3:mp2	VIPN3I2PX
V:PI-3:ms2	VIPN3I2SX
	
V:PI+3:iap	VIPR3PXPX
V:PI+3:iasf	VIPR3PXSF
V:PI+3:iasm	VIPR3PXSM
V:PI+3:iasn	VIPR3PXSN
V:PI+3:Inf	VIPR30XXX
V:PI+3:ipp1	VIPR3F1PX
V:PI+3:ipp2	VIPR3F2PX
V:PI+3:ipp3	VIPR3F3PX
V:PI+3:ips1	VIPR3F1SX
V:PI+3:ips2	VIPR3F2SX
V:PI+3:ips3	VIPR3F3SX
V:PI+3:mp2	VIPR3I2PX
V:PI+3:ms2	VIPR3I2SX
	
V:PT-3:iap	VTPN3PXPX
V:PT-3:iasf	VTPN3PXSF
V:PT-3:iasm	VTPN3PXSM
V:PT-3:iasn	VTPN3PXSN
V:PT-3:Inf	VTPN30XXX
V:PT-3:ipp1	VTPN3F1PX
V:PT-3:ipp2	VTPN3F2PX
V:PT-3:ipp3	VTPN3F3PX
V:PT-3:ips1	VTPN3F1SX
V:PT-3:ips2	VTPN3F2SX
V:PT-3:ips3	VTPN3F3SX
V:PT-3:mp2	VTPN3I2PX
V:PT-3:ms2	VTPN3I2SX
	
V:PT+3:iap	VTPR3PXPX
V:PT+3:iasf	VTPR3PXSF
V:PT+3:iasm	VTPR3PXSM
V:PT+3:iasn	VTPR3PXSN
V:PT+3:Inf	VTPR30XXX
V:PT+3:ipp1	VTPR3F1PX
V:PT+3:ipp2	VTPR3F2PX
V:PT+3:ipp3	VTPR3F3PX
V:PT+3:ips1	VTPR3F1SX
V:PT+3:ips2	VTPR3F2SX
V:PT+3:ips3	VTPR3F3SX
V:PT+3:mp2	VTPR3I2PX
V:PT+3:ms2	VTPR3I2SX

# Деепричастие

V:Adv:DD-	DDDNX
V:Adv:DI-	DIDNX
V:Adv:DI+	DIDRX
V:Adv:DT-	DTDNX
V:Adv:ID-	DDMNX
V:Adv:II-	DIMNX
V:Adv:II+	DIMRX
V:Adv:IT-	DTMNX
V:Adv:IT+	DTMRX
V:Adv:PD-	DDPNX
V:Adv:PI-	DIPNX
V:Adv:PI+	DIPRX
V:Adv:PT-	DTPNX
V:Adv:PT+	DTPRX

V:Adv:DD-1	DDDN1
V:Adv:DI-1	DIDN1
V:Adv:DI+1	DIDR1
V:Adv:DT-1	DTDN1
V:Adv:ID-1	DDMN1
V:Adv:II-1	DIMN1
V:Adv:II+1	DIMR1
V:Adv:IT-1	DTMN1
V:Adv:IT+1	DTMR1
V:Adv:PD-1	DDPN1
V:Adv:PI-1	DIPN1
V:Adv:PI+1	DIPR1
V:Adv:PT-1	DTPN1
V:Adv:PT+1	DTPR1

V:Adv:DD-2	DDDN2
V:Adv:DI-2	DIDN2
V:Adv:DI+2	DIDR2
V:Adv:DT-2	DTDN2
V:Adv:ID-2	DDMN2
V:Adv:II-2	DIMN2
V:Adv:II+2	DIMR2
V:Adv:IT-2	DTMN2
V:Adv:IT+2	DTMR2
V:Adv:PD-2	DDPN2
V:Adv:PI-2	DIPN2
V:Adv:PI+2	DIPR2
V:Adv:PT-2	DTPN2
V:Adv:PT+2	DTPR2

V:Adv:DD-3	DDDN3
V:Adv:DI-3	DIDN3
V:Adv:DI+3	DIDR3
V:Adv:DT-3	DTDN3
V:Adv:ID-3	DDMN3
V:Adv:II-3	DIMN3
V:Adv:II+3	DIMR3
V:Adv:IT-3	DTMN3
V:Adv:IT+3	DTMR3
V:Adv:PD-3	DDPN3
V:Adv:PI-3	DIPN3
V:Adv:PI+3	DIPR3
V:Adv:PT-3	DTPN3
V:Adv:PT+3	DTPR3

# Причастие

V:Part:DD-:act:0pA	PAXDXAPF
V:Part:DD-:act:0pD	PAXDXDPF
V:Part:DD-:act:0pG	PAXDXGPF
V:Part:DD-:act:0pI	PAXDXIPF
V:Part:DD-:act:0pL	PAXDXLPF
V:Part:DD-:act:0pN	PAXDXNPF
V:Part:DD-:act:fsA	PAXDFASF
V:Part:DD-:act:fsD	PAXDFDSF
V:Part:DD-:act:fsG	PAXDFGSF
V:Part:DD-:act:fsI	PAXDFISF
V:Part:DD-:act:fsL	PAXDFLSF
V:Part:DD-:act:fsN	PAXDFNSF
V:Part:DD-:act:msA	PAXDMASF
V:Part:DD-:act:msD	PAXDMDSF
V:Part:DD-:act:msG	PAXDMGSF
V:Part:DD-:act:msI	PAXDMISF
V:Part:DD-:act:msL	PAXDMLSF
V:Part:DD-:act:msN	PAXDMNSF
V:Part:DD-:act:nsA	PAXDNASF
V:Part:DD-:act:nsD	PAXDNDSF
V:Part:DD-:act:nsG	PAXDNGSF
V:Part:DD-:act:nsI	PAXDNISF
V:Part:DD-:act:nsL	PAXDNLSF
V:Part:DD-:act:nsN	PAXDNNSF
	
V:Part:DI-:act:0pA	PAXDXAPF
V:Part:DI-:act:0pD	PAXDXDPF
V:Part:DI-:act:0pG	PAXDXGPF
V:Part:DI-:act:0pI	PAXDXIPF
V:Part:DI-:act:0pL	PAXDXLPF
V:Part:DI-:act:0pN	PAXDXNPF
V:Part:DI-:act:fsA	PAXDFASF
V:Part:DI-:act:fsD	PAXDFDSF
V:Part:DI-:act:fsG	PAXDFGSF
V:Part:DI-:act:fsI	PAXDFISF
V:Part:DI-:act:fsL	PAXDFLSF
V:Part:DI-:act:fsN	PAXDFNSF
V:Part:DI-:act:msA	PAXDMASF
V:Part:DI-:act:msD	PAXDMDSF
V:Part:DI-:act:msG	PAXDMGSF
V:Part:DI-:act:msI	PAXDMISF
V:Part:DI-:act:msL	PAXDMLSF
V:Part:DI-:act:msN	PAXDMNSF
V:Part:DI-:act:nsA	PAXDNASF
V:Part:DI-:act:nsD	PAXDNDSF
V:Part:DI-:act:nsG	PAXDNGSF
V:Part:DI-:act:nsI	PAXDNISF
V:Part:DI-:act:nsL	PAXDNLSF
V:Part:DI-:act:nsN	PAXDNNSF
	
V:Part:DI+:act:0pA	PAXDXAPF
V:Part:DI+:act:0pD	PAXDXDPF
V:Part:DI+:act:0pG	PAXDXGPF
V:Part:DI+:act:0pI	PAXDXIPF
V:Part:DI+:act:0pL	PAXDXLPF
V:Part:DI+:act:0pN	PAXDXNPF
V:Part:DI+:act:fsA	PAXDFASF
V:Part:DI+:act:fsD	PAXDFDSF
V:Part:DI+:act:fsG	PAXDFGSF
V:Part:DI+:act:fsI	PAXDFISF
V:Part:DI+:act:fsL	PAXDFLSF
V:Part:DI+:act:fsN	PAXDFNSF
V:Part:DI+:act:msA	PAXDMASF
V:Part:DI+:act:msD	PAXDMDSF
V:Part:DI+:act:msG	PAXDMGSF
V:Part:DI+:act:msI	PAXDMISF
V:Part:DI+:act:msL	PAXDMLSF
V:Part:DI+:act:msN	PAXDMNSF
V:Part:DI+:act:nsA	PAXDNASF
V:Part:DI+:act:nsD	PAXDNDSF
V:Part:DI+:act:nsG	PAXDNGSF
V:Part:DI+:act:nsI	PAXDNISF
V:Part:DI+:act:nsL	PAXDNLSF
V:Part:DI+:act:nsN	PAXDNNSF
	
V:Part:DT-:act:0pA	PAXDXAPF
V:Part:DT-:act:0pD	PAXDXDPF
V:Part:DT-:act:0pG	PAXDXGPF
V:Part:DT-:act:0pI	PAXDXIPF
V:Part:DT-:act:0pL	PAXDXLPF
V:Part:DT-:act:0pN	PAXDXNPF
V:Part:DT-:act:fsA	PAXDFASF
V:Part:DT-:act:fsD	PAXDFDSF
V:Part:DT-:act:fsG	PAXDFGSF
V:Part:DT-:act:fsI	PAXDFISF
V:Part:DT-:act:fsL	PAXDFLSF
V:Part:DT-:act:fsN	PAXDFNSF
V:Part:DT-:act:msA	PAXDMASF
V:Part:DT-:act:msD	PAXDMDSF
V:Part:DT-:act:msG	PAXDMGSF
V:Part:DT-:act:msI	PAXDMISF
V:Part:DT-:act:msL	PAXDMLSF
V:Part:DT-:act:msN	PAXDMNSF
V:Part:DT-:act:nsA	PAXDNASF
V:Part:DT-:act:nsD	PAXDNDSF
V:Part:DT-:act:nsG	PAXDNGSF
V:Part:DT-:act:nsI	PAXDNISF
V:Part:DT-:act:nsL	PAXDNLSF
V:Part:DT-:act:nsN	PAXDNNSF
	
V:Part:ID-:act:0pA	PAXIXAPF
V:Part:ID-:act:0pD	PAXIXDPF
V:Part:ID-:act:0pG	PAXIXGPF
V:Part:ID-:act:0pI	PAXIXIPF
V:Part:ID-:act:0pL	PAXIXLPF
V:Part:ID-:act:0pN	PAXIXNPF
V:Part:ID-:act:fsA	PAXIFASF
V:Part:ID-:act:fsD	PAXIFDSF
V:Part:ID-:act:fsG	PAXIFGSF
V:Part:ID-:act:fsI	PAXIFISF
V:Part:ID-:act:fsL	PAXIFLSF
V:Part:ID-:act:fsN	PAXIFNSF
V:Part:ID-:act:msA	PAXIMASF
V:Part:ID-:act:msD	PAXIMDSF
V:Part:ID-:act:msG	PAXIMGSF
V:Part:ID-:act:msI	PAXIMISF
V:Part:ID-:act:msL	PAXIMLSF
V:Part:ID-:act:msN	PAXIMNSF
V:Part:ID-:act:nsA	PAXINASF
V:Part:ID-:act:nsD	PAXINDSF
V:Part:ID-:act:nsG	PAXINGSF
V:Part:ID-:act:nsI	PAXINISF
V:Part:ID-:act:nsL	PAXINLSF
V:Part:ID-:act:nsN	PAXINNSF
	
V:Part:II-:act:0pA	PAXIXAPF
V:Part:II-:act:0pD	PAXIXDPF
V:Part:II-:act:0pG	PAXIXGPF
V:Part:II-:act:0pI	PAXIXIPF
V:Part:II-:act:0pL	PAXIXLPF
V:Part:II-:act:0pN	PAXIXNPF
V:Part:II-:act:fsA	PAXIFASF
V:Part:II-:act:fsD	PAXIFDSF
V:Part:II-:act:fsG	PAXIFGSF
V:Part:II-:act:fsI	PAXIFISF
V:Part:II-:act:fsL	PAXIFLSF
V:Part:II-:act:fsN	PAXIFNSF
V:Part:II-:act:msA	PAXIMASF
V:Part:II-:act:msD	PAXIMDSF
V:Part:II-:act:msG	PAXIMGSF
V:Part:II-:act:msI	PAXIMISF
V:Part:II-:act:msL	PAXIMLSF
V:Part:II-:act:msN	PAXIMNSF
V:Part:II-:act:nsA	PAXINASF
V:Part:II-:act:nsD	PAXINDSF
V:Part:II-:act:nsG	PAXINGSF
V:Part:II-:act:nsI	PAXINISF
V:Part:II-:act:nsL	PAXINLSF
V:Part:II-:act:nsN	PAXINNSF
	
V:Part:II+:act:0pA	PAXIXAPF
V:Part:II+:act:0pD	PAXIXDPF
V:Part:II+:act:0pG	PAXIXGPF
V:Part:II+:act:0pI	PAXIXIPF
V:Part:II+:act:0pL	PAXIXLPF
V:Part:II+:act:0pN	PAXIXNPF
V:Part:II+:act:fsA	PAXIFASF
V:Part:II+:act:fsD	PAXIFDSF
V:Part:II+:act:fsG	PAXIFGSF
V:Part:II+:act:fsI	PAXIFISF
V:Part:II+:act:fsL	PAXIFLSF
V:Part:II+:act:fsN	PAXIFNSF
V:Part:II+:act:msA	PAXIMASF
V:Part:II+:act:msD	PAXIMDSF
V:Part:II+:act:msG	PAXIMGSF
V:Part:II+:act:msI	PAXIMISF
V:Part:II+:act:msL	PAXIMLSF
V:Part:II+:act:msN	PAXIMNSF
V:Part:II+:act:nsA	PAXINASF
V:Part:II+:act:nsD	PAXINDSF
V:Part:II+:act:nsG	PAXINGSF
V:Part:II+:act:nsI	PAXINISF
V:Part:II+:act:nsL	PAXINLSF
V:Part:II+:act:nsN	PAXINNSF
	
V:Part:IT-:act:0pA	PAXIXAPF
V:Part:IT-:act:0pD	PAXIXDPF
V:Part:IT-:act:0pG	PAXIXGPF
V:Part:IT-:act:0pI	PAXIXIPF
V:Part:IT-:act:0pL	PAXIXLPF
V:Part:IT-:act:0pN	PAXIXNPF
V:Part:IT-:act:fsA	PAXIFASF
V:Part:IT-:act:fsD	PAXIFDSF
V:Part:IT-:act:fsG	PAXIFGSF
V:Part:IT-:act:fsI	PAXIFISF
V:Part:IT-:act:fsL	PAXIFLSF
V:Part:IT-:act:fsN	PAXIFNSF
V:Part:IT-:act:msA	PAXIMASF
V:Part:IT-:act:msD	PAXIMDSF
V:Part:IT-:act:msG	PAXIMGSF
V:Part:IT-:act:msI	PAXIMISF
V:Part:IT-:act:msL	PAXIMLSF
V:Part:IT-:act:msN	PAXIMNSF
V:Part:IT-:act:nsA	PAXINASF
V:Part:IT-:act:nsD	PAXINDSF
V:Part:IT-:act:nsG	PAXINGSF
V:Part:IT-:act:nsI	PAXINISF
V:Part:IT-:act:nsL	PAXINLSF
V:Part:IT-:act:nsN	PAXINNSF
	
V:Part:IT+:act:0pA	PAXIXAPF
V:Part:IT+:act:0pD	PAXIXDPF
V:Part:IT+:act:0pG	PAXIXGPF
V:Part:IT+:act:0pI	PAXIXIPF
V:Part:IT+:act:0pL	PAXIXLPF
V:Part:IT+:act:0pN	PAXIXNPF
V:Part:IT+:act:fsA	PAXIFASF
V:Part:IT+:act:fsD	PAXIFDSF
V:Part:IT+:act:fsG	PAXIFGSF
V:Part:IT+:act:fsI	PAXIFISF
V:Part:IT+:act:fsL	PAXIFLSF
V:Part:IT+:act:fsN	PAXIFNSF
V:Part:IT+:act:msA	PAXIMASF
V:Part:IT+:act:msD	PAXIMDSF
V:Part:IT+:act:msG	PAXIMGSF
V:Part:IT+:act:msI	PAXIMISF
V:Part:IT+:act:msL	PAXIMLSF
V:Part:IT+:act:msN	PAXIMNSF
V:Part:IT+:act:nsA	PAXINASF
V:Part:IT+:act:nsD	PAXINDSF
V:Part:IT+:act:nsG	PAXINGSF
V:Part:IT+:act:nsI	PAXINISF
V:Part:IT+:act:nsL	PAXINLSF
V:Part:IT+:act:nsN	PAXINNSF
	
V:Part:PD-:act:0pA	PAXPXAPF
V:Part:PD-:act:0pD	PAXPXDPF
V:Part:PD-:act:0pG	PAXPXGPF
V:Part:PD-:act:0pI	PAXPXIPF
V:Part:PD-:act:0pL	PAXPXLPF
V:Part:PD-:act:0pN	PAXPXNPF
V:Part:PD-:act:fsA	PAXPFASF
V:Part:PD-:act:fsD	PAXPFDSF
V:Part:PD-:act:fsG	PAXPFGSF
V:Part:PD-:act:fsI	PAXPFISF
V:Part:PD-:act:fsL	PAXPFLSF
V:Part:PD-:act:fsN	PAXPFNSF
V:Part:PD-:act:msA	PAXPMASF
V:Part:PD-:act:msD	PAXPMDSF
V:Part:PD-:act:msG	PAXPMGSF
V:Part:PD-:act:msI	PAXPMISF
V:Part:PD-:act:msL	PAXPMLSF
V:Part:PD-:act:msN	PAXPMNSF
V:Part:PD-:act:nsA	PAXPNASF
V:Part:PD-:act:nsD	PAXPNDSF
V:Part:PD-:act:nsG	PAXPNGSF
V:Part:PD-:act:nsI	PAXPNISF
V:Part:PD-:act:nsL	PAXPNLSF
V:Part:PD-:act:nsN	PAXPNNSF
	
V:Part:PI-:act:0pA	PAXPXAPF
V:Part:PI-:act:0pD	PAXPXDPF
V:Part:PI-:act:0pG	PAXPXGPF
V:Part:PI-:act:0pI	PAXPXIPF
V:Part:PI-:act:0pL	PAXPXLPF
V:Part:PI-:act:0pN	PAXPXNPF
V:Part:PI-:act:fsA	PAXPFASF
V:Part:PI-:act:fsD	PAXPFDSF
V:Part:PI-:act:fsG	PAXPFGSF
V:Part:PI-:act:fsI	PAXPFISF
V:Part:PI-:act:fsL	PAXPFLSF
V:Part:PI-:act:fsN	PAXPFNSF
V:Part:PI-:act:msA	PAXPMASF
V:Part:PI-:act:msD	PAXPMDSF
V:Part:PI-:act:msG	PAXPMGSF
V:Part:PI-:act:msI	PAXPMISF
V:Part:PI-:act:msL	PAXPMLSF
V:Part:PI-:act:msN	PAXPMNSF
V:Part:PI-:act:nsA	PAXPNASF
V:Part:PI-:act:nsD	PAXPNDSF
V:Part:PI-:act:nsG	PAXPNGSF
V:Part:PI-:act:nsI	PAXPNISF
V:Part:PI-:act:nsL	PAXPNLSF
V:Part:PI-:act:nsN	PAXPNNSF
	
V:Part:PI+:act:0pA	PAXPXAPF
V:Part:PI+:act:0pD	PAXPXDPF
V:Part:PI+:act:0pG	PAXPXGPF
V:Part:PI+:act:0pI	PAXPXIPF
V:Part:PI+:act:0pL	PAXPXLPF
V:Part:PI+:act:0pN	PAXPXNPF
V:Part:PI+:act:fsA	PAXPFASF
V:Part:PI+:act:fsD	PAXPFDSF
V:Part:PI+:act:fsG	PAXPFGSF
V:Part:PI+:act:fsI	PAXPFISF
V:Part:PI+:act:fsL	PAXPFLSF
V:Part:PI+:act:fsN	PAXPFNSF
V:Part:PI+:act:msA	PAXPMASF
V:Part:PI+:act:msD	PAXPMDSF
V:Part:PI+:act:msG	PAXPMGSF
V:Part:PI+:act:msI	PAXPMISF
V:Part:PI+:act:msL	PAXPMLSF
V:Part:PI+:act:msN	PAXPMNSF
V:Part:PI+:act:nsA	PAXPNASF
V:Part:PI+:act:nsD	PAXPNDSF
V:Part:PI+:act:nsG	PAXPNGSF
V:Part:PI+:act:nsI	PAXPNISF
V:Part:PI+:act:nsL	PAXPNLSF
V:Part:PI+:act:nsN	PAXPNNSF
	
V:Part:PT-:act:0pA	PAXPXAPF
V:Part:PT-:act:0pD	PAXPXDPF
V:Part:PT-:act:0pG	PAXPXGPF
V:Part:PT-:act:0pI	PAXPXIPF
V:Part:PT-:act:0pL	PAXPXLPF
V:Part:PT-:act:0pN	PAXPXNPF
V:Part:PT-:act:fsA	PAXPFASF
V:Part:PT-:act:fsD	PAXPFDSF
V:Part:PT-:act:fsG	PAXPFGSF
V:Part:PT-:act:fsI	PAXPFISF
V:Part:PT-:act:fsL	PAXPFLSF
V:Part:PT-:act:fsN	PAXPFNSF
V:Part:PT-:act:msA	PAXPMASF
V:Part:PT-:act:msD	PAXPMDSF
V:Part:PT-:act:msG	PAXPMGSF
V:Part:PT-:act:msI	PAXPMISF
V:Part:PT-:act:msL	PAXPMLSF
V:Part:PT-:act:msN	PAXPMNSF
V:Part:PT-:act:nsA	PAXPNASF
V:Part:PT-:act:nsD	PAXPNDSF
V:Part:PT-:act:nsG	PAXPNGSF
V:Part:PT-:act:nsI	PAXPNISF
V:Part:PT-:act:nsL	PAXPNLSF
V:Part:PT-:act:nsN	PAXPNNSF
	
V:Part:PT+:act:0pA	PAXPXAPF
V:Part:PT+:act:0pD	PAXPXDPF
V:Part:PT+:act:0pG	PAXPXGPF
V:Part:PT+:act:0pI	PAXPXIPF
V:Part:PT+:act:0pL	PAXPXLPF
V:Part:PT+:act:0pN	PAXPXNPF
V:Part:PT+:act:fsA	PAXPFASF
V:Part:PT+:act:fsD	PAXPFDSF
V:Part:PT+:act:fsG	PAXPFGSF
V:Part:PT+:act:fsI	PAXPFISF
V:Part:PT+:act:fsL	PAXPFLSF
V:Part:PT+:act:fsN	PAXPFNSF
V:Part:PT+:act:msA	PAXPMASF
V:Part:PT+:act:msD	PAXPMDSF
V:Part:PT+:act:msG	PAXPMGSF
V:Part:PT+:act:msI	PAXPMISF
V:Part:PT+:act:msL	PAXPMLSF
V:Part:PT+:act:msN	PAXPMNSF
V:Part:PT+:act:nsA	PAXPNASF
V:Part:PT+:act:nsD	PAXPNDSF
V:Part:PT+:act:nsG	PAXPNGSF
V:Part:PT+:act:nsI	PAXPNISF
V:Part:PT+:act:nsL	PAXPNLSF
V:Part:PT+:act:nsN	PAXPNNSF

V:Part:DD-:act:p:0pA	PARDXAPF
V:Part:DD-:act:p:0pD	PARDXDPF
V:Part:DD-:act:p:0pG	PARDXGPF
V:Part:DD-:act:p:0pI	PARDXIPF
V:Part:DD-:act:p:0pL	PARDXLPF
V:Part:DD-:act:p:0pN	PARDXNPF
V:Part:DD-:act:p:fsA	PARDFASF
V:Part:DD-:act:p:fsD	PARDFDSF
V:Part:DD-:act:p:fsG	PARDFGSF
V:Part:DD-:act:p:fsI	PARDFISF
V:Part:DD-:act:p:fsL	PARDFLSF
V:Part:DD-:act:p:fsN	PARDFNSF
V:Part:DD-:act:p:msA	PARDMASF
V:Part:DD-:act:p:msD	PARDMDSF
V:Part:DD-:act:p:msG	PARDMGSF
V:Part:DD-:act:p:msI	PARDMISF
V:Part:DD-:act:p:msL	PARDMLSF
V:Part:DD-:act:p:msN	PARDMNSF
V:Part:DD-:act:p:nsA	PARDNASF
V:Part:DD-:act:p:nsD	PARDNDSF
V:Part:DD-:act:p:nsG	PARDNGSF
V:Part:DD-:act:p:nsI	PARDNISF
V:Part:DD-:act:p:nsL	PARDNLSF
V:Part:DD-:act:p:nsN	PARDNNSF
	
V:Part:DI-:act:p:0pA	PARDXAPF
V:Part:DI-:act:p:0pD	PARDXDPF
V:Part:DI-:act:p:0pG	PARDXGPF
V:Part:DI-:act:p:0pI	PARDXIPF
V:Part:DI-:act:p:0pL	PARDXLPF
V:Part:DI-:act:p:0pN	PARDXNPF
V:Part:DI-:act:p:fsA	PARDFASF
V:Part:DI-:act:p:fsD	PARDFDSF
V:Part:DI-:act:p:fsG	PARDFGSF
V:Part:DI-:act:p:fsI	PARDFISF
V:Part:DI-:act:p:fsL	PARDFLSF
V:Part:DI-:act:p:fsN	PARDFNSF
V:Part:DI-:act:p:msA	PARDMASF
V:Part:DI-:act:p:msD	PARDMDSF
V:Part:DI-:act:p:msG	PARDMGSF
V:Part:DI-:act:p:msI	PARDMISF
V:Part:DI-:act:p:msL	PARDMLSF
V:Part:DI-:act:p:msN	PARDMNSF
V:Part:DI-:act:p:nsA	PARDNASF
V:Part:DI-:act:p:nsD	PARDNDSF
V:Part:DI-:act:p:nsG	PARDNGSF
V:Part:DI-:act:p:nsI	PARDNISF
V:Part:DI-:act:p:nsL	PARDNLSF
V:Part:DI-:act:p:nsN	PARDNNSF
	
V:Part:DI+:act:p:0pA	PARDXAPF
V:Part:DI+:act:p:0pD	PARDXDPF
V:Part:DI+:act:p:0pG	PARDXGPF
V:Part:DI+:act:p:0pI	PARDXIPF
V:Part:DI+:act:p:0pL	PARDXLPF
V:Part:DI+:act:p:0pN	PARDXNPF
V:Part:DI+:act:p:fsA	PARDFASF
V:Part:DI+:act:p:fsD	PARDFDSF
V:Part:DI+:act:p:fsG	PARDFGSF
V:Part:DI+:act:p:fsI	PARDFISF
V:Part:DI+:act:p:fsL	PARDFLSF
V:Part:DI+:act:p:fsN	PARDFNSF
V:Part:DI+:act:p:msA	PARDMASF
V:Part:DI+:act:p:msD	PARDMDSF
V:Part:DI+:act:p:msG	PARDMGSF
V:Part:DI+:act:p:msI	PARDMISF
V:Part:DI+:act:p:msL	PARDMLSF
V:Part:DI+:act:p:msN	PARDMNSF
V:Part:DI+:act:p:nsA	PARDNASF
V:Part:DI+:act:p:nsD	PARDNDSF
V:Part:DI+:act:p:nsG	PARDNGSF
V:Part:DI+:act:p:nsI	PARDNISF
V:Part:DI+:act:p:nsL	PARDNLSF
V:Part:DI+:act:p:nsN	PARDNNSF
	
V:Part:DT-:act:p:0pA	PARDXAPF
V:Part:DT-:act:p:0pD	PARDXDPF
V:Part:DT-:act:p:0pG	PARDXGPF
V:Part:DT-:act:p:0pI	PARDXIPF
V:Part:DT-:act:p:0pL	PARDXLPF
V:Part:DT-:act:p:0pN	PARDXNPF
V:Part:DT-:act:p:fsA	PARDFASF
V:Part:DT-:act:p:fsD	PARDFDSF
V:Part:DT-:act:p:fsG	PARDFGSF
V:Part:DT-:act:p:fsI	PARDFISF
V:Part:DT-:act:p:fsL	PARDFLSF
V:Part:DT-:act:p:fsN	PARDFNSF
V:Part:DT-:act:p:msA	PARDMASF
V:Part:DT-:act:p:msD	PARDMDSF
V:Part:DT-:act:p:msG	PARDMGSF
V:Part:DT-:act:p:msI	PARDMISF
V:Part:DT-:act:p:msL	PARDMLSF
V:Part:DT-:act:p:msN	PARDMNSF
V:Part:DT-:act:p:nsA	PARDNASF
V:Part:DT-:act:p:nsD	PARDNDSF
V:Part:DT-:act:p:nsG	PARDNGSF
V:Part:DT-:act:p:nsI	PARDNISF
V:Part:DT-:act:p:nsL	PARDNLSF
V:Part:DT-:act:p:nsN	PARDNNSF
	
V:Part:ID-:act:p:0pA	PARIXAPF
V:Part:ID-:act:p:0pD	PARIXDPF
V:Part:ID-:act:p:0pG	PARIXGPF
V:Part:ID-:act:p:0pI	PARIXIPF
V:Part:ID-:act:p:0pL	PARIXLPF
V:Part:ID-:act:p:0pN	PARIXNPF
V:Part:ID-:act:p:fsA	PARIFASF
V:Part:ID-:act:p:fsD	PARIFDSF
V:Part:ID-:act:p:fsG	PARIFGSF
V:Part:ID-:act:p:fsI	PARIFISF
V:Part:ID-:act:p:fsL	PARIFLSF
V:Part:ID-:act:p:fsN	PARIFNSF
V:Part:ID-:act:p:msA	PARIMASF
V:Part:ID-:act:p:msD	PARIMDSF
V:Part:ID-:act:p:msG	PARIMGSF
V:Part:ID-:act:p:msI	PARIMISF
V:Part:ID-:act:p:msL	PARIMLSF
V:Part:ID-:act:p:msN	PARIMNSF
V:Part:ID-:act:p:nsA	PARINASF
V:Part:ID-:act:p:nsD	PARINDSF
V:Part:ID-:act:p:nsG	PARINGSF
V:Part:ID-:act:p:nsI	PARINISF
V:Part:ID-:act:p:nsL	PARINLSF
V:Part:ID-:act:p:nsN	PARINNSF
	
V:Part:II-:act:p:0pA	PARIXAPF
V:Part:II-:act:p:0pD	PARIXDPF
V:Part:II-:act:p:0pG	PARIXGPF
V:Part:II-:act:p:0pI	PARIXIPF
V:Part:II-:act:p:0pL	PARIXLPF
V:Part:II-:act:p:0pN	PARIXNPF
V:Part:II-:act:p:fsA	PARIFASF
V:Part:II-:act:p:fsD	PARIFDSF
V:Part:II-:act:p:fsG	PARIFGSF
V:Part:II-:act:p:fsI	PARIFISF
V:Part:II-:act:p:fsL	PARIFLSF
V:Part:II-:act:p:fsN	PARIFNSF
V:Part:II-:act:p:msA	PARIMASF
V:Part:II-:act:p:msD	PARIMDSF
V:Part:II-:act:p:msG	PARIMGSF
V:Part:II-:act:p:msI	PARIMISF
V:Part:II-:act:p:msL	PARIMLSF
V:Part:II-:act:p:msN	PARIMNSF
V:Part:II-:act:p:nsA	PARINASF
V:Part:II-:act:p:nsD	PARINDSF
V:Part:II-:act:p:nsG	PARINGSF
V:Part:II-:act:p:nsI	PARINISF
V:Part:II-:act:p:nsL	PARINLSF
V:Part:II-:act:p:nsN	PARINNSF
	
V:Part:II+:act:p:0pA	PARIXAPF
V:Part:II+:act:p:0pD	PARIXDPF
V:Part:II+:act:p:0pG	PARIXGPF
V:Part:II+:act:p:0pI	PARIXIPF
V:Part:II+:act:p:0pL	PARIXLPF
V:Part:II+:act:p:0pN	PARIXNPF
V:Part:II+:act:p:fsA	PARIFASF
V:Part:II+:act:p:fsD	PARIFDSF
V:Part:II+:act:p:fsG	PARIFGSF
V:Part:II+:act:p:fsI	PARIFISF
V:Part:II+:act:p:fsL	PARIFLSF
V:Part:II+:act:p:fsN	PARIFNSF
V:Part:II+:act:p:msA	PARIMASF
V:Part:II+:act:p:msD	PARIMDSF
V:Part:II+:act:p:msG	PARIMGSF
V:Part:II+:act:p:msI	PARIMISF
V:Part:II+:act:p:msL	PARIMLSF
